,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
73,247569,33642,42172,142924,21416,43956,130532,10184,39605,76951,9030,23206,75333,7305,25517,110740,9331,45519,100712,6667,27306,102914,5284,26396,58926,4572,21273,45392,5935,19639,73967,9961,30745,99430,9852,23149
74,247324,33416,42642,141607,21594,45095,130483,9619,40218,77615,8658,22913,75993,6952,25209,110000,9619,45971,101280,7200,26204,102961,5210,26423,58921,4288,21562,45043,6465,19458,74182,10523,29967,98969,9954,23508
75,247406,32895,43081,143833,20909,43554,130572,9873,39876,77282,8701,23203,75774,7276,25104,109830,9224,46537,100679,6458,27546,101769,5673,27151,58120,4823,21828,45387,6461,19118,74262,10260,30150,97906,10995,23531
76,247735,34007,41639,141954,22455,43887,130712,10162,39446,77215,8670,23301,75327,7533,25294,110382,9171,46038,100729,6011,27944,102900,5495,26199,59392,4372,21007,45709,6479,18778,74562,10156,29955,98764,10488,23180
77,248119,32342,42920,142938,21184,44174,131468,10485,38367,76926,8706,23554,76736,6628,24789,111466,9101,45025,100135,6354,28195,103279,5202,26113,58672,4674,21425,45179,6690,19098,74124,10428,30120,99179,9603,23649
78,246065,34213,43105,141702,22538,44056,129873,9831,40616,76370,9226,23590,75483,7052,25619,109702,9845,46045,100208,7245,27231,101521,5406,27667,58612,4508,21650,45199,6311,19456,73969,10085,30619,99503,10011,22918
79,247756,33187,42439,142502,21986,43808,130414,9887,40020,77369,8733,23085,75262,7290,25601,111898,9086,44607,99667,7132,27885,104111,5258,25225,59608,4486,20676,45535,6309,19122,73954,10120,30599,98468,10496,23468
80,245648,33467,44267,143188,21339,43769,130162,10127,40031,77779,8411,22996,76209,6930,25015,110514,9598,45479,99607,6847,28230,102452,5405,26738,59002,4527,21241,45553,6502,18912,74126,10138,30409,99383,10145,22904
81,246714,32745,43922,142739,21084,44473,131156,9916,39248,77216,8805,23165,76139,6911,25103,110438,8987,46167,100240,6474,27970,102733,5383,26478,58500,4850,21421,45861,6342,18763,74713,10151,29809,99002,9755,23675
82,247607,33392,42383,142896,21531,43869,131079,9986,39255,76895,8494,23797,75416,6608,26130,110463,9366,45762,100312,7183,27189,102567,5309,26718,58366,4690,21716,45276,6188,19502,74094,10440,30139,98805,10201,23426
83,247186,33378,42818,141753,21830,44712,130629,9704,39987,77338,8499,23349,76612,6679,24863,110249,9755,45587,100544,7352,26787,102156,5099,27339,58615,4707,21449,44866,6788,19312,73750,10329,30594,98625,10062,23745
84,247931,32481,42970,141898,22284,44115,130623,9805,39892,77131,8519,23536,75196,7054,25904,109717,9724,46151,99449,6502,28733,102984,5408,26202,58519,4442,21810,44998,6345,19623,74418,9983,30272,99084,9802,23546
85,247593,32840,42949,141977,21748,44571,129891,10255,40174,77478,8628,23080,75223,7541,25391,111071,9305,45215,99146,7460,28078,102676,5378,26539,58906,4376,21489,45242,6421,19303,74415,10037,30221,99768,9388,23276
86,246689,34107,42587,142646,21263,44386,130496,10343,39481,77538,8620,23027,76098,6555,25501,110961,8916,45713,99304,6669,28710,102312,5740,26541,59190,4541,21041,45669,6572,18725,73821,9967,30885,98424,9851,24157
87,248110,33313,41960,142212,21777,44307,130756,10105,39459,77425,9042,22719,76373,6931,24850,110500,9324,45767,100085,6391,28208,103003,5474,26117,58587,4368,21816,46051,6093,18822,74032,9723,30918,98459,10433,23539
88,247756,32743,42882,141424,22778,44094,130312,10363,39645,78184,8698,22304,76227,6904,25023,110660,8830,46102,99915,7357,27412,102480,5187,26927,58531,4757,21484,45280,6326,19361,73523,10204,30946,98564,9803,24065
89,248009,33388,41985,142829,21956,43510,130797,10229,39294,77009,9008,23168,75948,7191,25015,110332,9519,45740,100158,7529,26997,102914,5781,25899,57753,4647,22371,45366,6438,19162,73899,10028,30746,99379,9642,23411
90,247740,32443,43199,142184,23269,42843,130241,10172,39907,77339,8780,23068,75947,6994,25213,109806,9210,46575,100863,6491,27330,103320,5159,26116,58002,4618,22152,45700,6186,19080,74577,9603,30492,97733,10467,24232
91,247377,32552,43453,140794,22289,45213,130665,10088,39567,77199,8754,23233,75399,6838,25918,110344,9186,46061,99725,7694,27265,103030,5491,26073,58331,4612,21829,45218,6689,19060,74032,10593,30048,99233,9798,23401
92,247371,34201,41810,142228,21327,44741,130447,9835,40039,77518,8932,22736,75018,6686,26450,111210,8963,45417,99945,7715,27024,102450,5459,26685,58390,4905,21477,45394,6421,19151,73300,10267,31106,98880,10616,22936
93,246197,33383,43802,142201,21925,44171,131583,9843,38894,77631,8191,23364,75355,6825,25974,109416,9450,46726,98406,7373,28905,101881,5677,27036,58589,4613,21569,45225,6593,19149,73879,10649,30145,99259,9819,23355
94,246954,33703,42725,143059,21845,43392,130940,9864,39516,77701,8448,23037,76784,7069,24301,109328,9592,46671,100785,6756,27144,102919,5289,26386,59532,4613,20625,45311,6454,19201,73550,10036,31087,98596,10684,23152
95,246916,32702,43764,142559,21860,43877,130991,9803,39527,76764,8799,23623,75969,6878,25307,110731,9035,45825,99510,6828,28347,102383,5443,26768,58961,4657,21153,44849,6379,19739,74044,10186,30443,98733,10596,23104
